"","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","Gamma","log10T90Err","log10FluenceErr","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr","Class"
"32",0.111,-0.119186407719209,-6.476253533,0.586587305,0.81,21.16656331,-10.4134127,3.49343,1.98937,0.145,1.65934,0.0565465973564365,0.0212773562081293,0.0211385286996785,0.090909090909091,0.093649999999999,0.093885,0.169505,0.061048094,"0"
"33",2.352,1.94645226501307,-5.790484985,-0.22184875,1.58,21.3989672,-11.04866248,4.26825,1.42725,1.186,2.08596,0.0711281657048759,0.0175472517755912,0.0526417554287148,0.072727272727273,0.05475,0.053995,0.046555,0.1216678795,"0"
"34",1.165,1.67851837904011,-6.351639989,-0.045757491,1.94,21.8647258,-10.86327943,3.44468,1.2125,1.14,2.20341,0.206015982011363,0.0597395201502247,0.0643399233100112,0.218181818181818,0.161899999999999,0.14114,0.06357,0.015,"0"
"35",1.6295,1.94694327069783,-5.769551079,-0.161150909,1.85,21.70173804,-11.86327943,4.22335,0.991734,1.03,2.25837,0.0396768796607278,0.0185794430922578,0.0572192992938745,0.072727272727273,0.16615,0.203105,0.079308,0.06,"0"
"36",1.4959,2.32118402730231,-5.269217724,0.609594409,1.66,22.44245468,-11.2737,4.86926,1.89982,0.831,1.94468,0.134263479543134,0.0139921394309921,0.0135807968501197,0.060606060606061,0.0335,0.02824,0.06188,0.001,"0"
"37",0.82,1.32014628611105,-4.707743929,1.382017043,1.1,21.89306622,-9.161150909,3.02525,1.37377,0.764,1.82568,0.015292234035637,0.00366612225284185,0.00666213086135178,0.06060606061,0.010795,0.01189,0.013355,5e-04,"0"
"38",2.0865,1.57863920996807,-5.096367484,0.814913181,1.1,22.27524914,-10.01233374,3.55243,1.44502,0.98,2.00022,0.032307204601571,0.00581622391039878,0.0108830581640121,0.1212121212,0.04901,0.04844,0.0562,0.147518075,"0"
"39",2.4996,2.03822263836872,-5.590066877,0.155336037,1.34,22.56252244,-10.24641694,3.09323,1.21432,0.76,1.97999,0.0794726285854208,0.0250918873122187,0.066262349503112,0.096969696969697,0.0552,0.068045,0.03501,0.015,"0"
"40",2.45,1.2148438480477,-6.552841969,-0.397940009,1.79,21.91375294,-11.6716204,3.92184,1.16348,0.78,1.99014,0.0799687771478019,0.0470015673425834,0.0658021942774571,0.163636363636364,0.17395,0.236245,0.2088785,0.045,"0"
"41",0.2187,0.113943352306837,-7,0.079181246,1.69,20.80619355,-11.9625735,4.18985,1.17521,0.396,1.37246,0.0907104153663573,0.0263208776911062,0.0438681294899875,0.133333333333333,0.1917,0.206985,0.395643,0.0595,"0"
"42",1.60435,2.17609125905568,-5.080921908,0.799340549,1.36,20.86974084,-11.67760082,4.78411,1.97901,0.837,1.91015,0.0130126209865144,0.00951357025803561,0.0167116683927593,0.042424242424242,0.135899999999999,0.098505,0.183105,0.032,"0"
"43",2.145,0.6232492903979,-5.638272164,0.924279286,1.11,20.99642367,-9.169411331,2.311950854,1.119196934,0.844,1.59788,0.0601790284074954,0.0114438598661619,0.00940031346244879,0.03030303030303,0.035099822,0.039262062,0.011153209,0.001,"0"
"44",1.331,0.819543935541869,-5.619788758,1.053078443,1.57,22.04291793,-11.23542972,3.901990464,1.104952391,0.94,2.0457,0.120079755797505,0.0109670323640116,0.00931712485678028,0.036363636363636,0.101024385,0.117162967,0.089387802,0.01,"0"
"45",2.42,2.56229286445647,-5.638272164,0.113943352,2.32,21.4933967,-11.3990271,4.32608056,1.59590648,0.878,2.09352,0.0207018675106699,0.0228877197323238,0.0404936580149266,0.096969696969697,0.042473429999999,0.03798676,0.0652763515,0.0375,"0"
"46",1.03,1.7481880270062,-4.578396073,1.635483747,1.75,21.57289018,-10.11350927,4.20932562,1.28909841,0.91,1.97674,0.00776276207959923,0.000997002942546105,0.00548351618331015,0.018181818181818,0.06043543,0.049275581,0.010296793,0.001,"0"
"47",0.767,1.20951501454263,-5.920818754,0.414973348,1.73,21.51787914,-11.17198494,4.21762911,0.99269763,0.82,2.03541,0.0585255609480744,0.0219340647449938,0.0202468289917981,0.054545454545455,0.028180965,0.038388523,0.020935069,0.013,"0"
"48",3.2,0.763427993562937,-6.585026652,0.255272505,1.82,22.03528962,-11.12090412,3.77452827,0.94016916,1.48,2.3315,0.0159503209463535,0.0404936579835962,0.0438681294956119,0.163636363636364,0.077803665,0.111057696,0.084888358,0.03,"1"
"49",3.036,1.89762709129044,-4.619788758,1.36361198,1.31,22.38386741,-10.0540393,3.46298403,1.7256074,1.06,2.03418,0.0180592945364855,0.00731135491027843,0.0125337512783664,0.024242424242424,0.11042072,0.069659314,0.0376373875,0.02,"1"
"50",3.35,2.02530586526477,-5.337242168,0.301029996,1.34,21.45079548,-9.931814138,3.2687548,1.44529526,1.079,2.11482,0.0177699795120678,0.0114438598573077,0.0263208776707413,0.036363636363636,0.031830706,0.039738688,0.036139295,0.0015,"1"
"51",1.692,2.44715803134222,-5.602059991,0.322219295,1.77,21.51035195,-11.1260984,4.08450503,1.76031774,0.99,2.13864,0.0322625499126953,0.0210567021369837,0.0125337512738001,0.072727272727273,0.064484035,0.047916769,0.075970735,0.0375,"0"
"52",0.5295,1,-6.148741651,0.414973348,2.51,21.69605744,-10.58502665,3.58176278,1.00469263,0.92,2.102,0.127558078761821,0.0296573269567103,0.0404936579835962,0.121212121212121,0.053161115,0.084284398,0.039134851,0.005,"0"
"53",1.9685,2.26834391395106,-5.366531544,0.113943352,1.69,21.1376737,-10.79317412,3.85550833,1.47398467,0.84,1.98207,0.0944541322655463,0.0122422686816868,0.0202468290074635,0.042424242424242,0.06052989,0.056285684,0.063988679,0.025,"0"
"54",3.8479,2.43136376415899,-5.677780705,-0.301029996,1.43,21.49704581,-11.86327943,4.48156171,2.51960373,0.87,1.95818,0.0734806588271915,0.0250675025476,0.105283510845884,0.109090909090909,0.083250805000001,0.04285341,0.169198521,0.001,"1"
"55",2.26,1.53147891704226,-4.742321425,1.260071388,1.21,21.57331844,-9.354577731,2.93195749,1.23586126,0.991,2.4947,0.0102431891749236,0.00436257641157646,0.00723101035445099,0.078787878787879,0.0249855,0.031176651,0.0128618565,5e-04,"0"
"56",2.1,1.78318869107526,-6.086186148,-0.15490196,1.97,20.67248024,-11.32975415,3.66959365,0.99376498,1.02,2.08621,0.0985519956186671,0.0256789050871822,0.037601253845672,0.096969696969697,0.070144399999999,0.08735027,0.040381418,0.02,"0"
"57",1.547,1.43136376415899,-7.167491087,0.740362689,1.36,21.72376179,-9.457174573,3.15380077,1.42487631,0.667,1.76997,0.0360303570746831,0.0116121519146922,0.0382849130488151,0.048484848484849,0.036239983,0.041590346,0.0217865955,0.0026734575,"0"
"58",4.6497,0.944482672150169,-6.721246399,-0.301029996,2.15,21.81792086,-11.3419886,3.70655,1.29089,1.01,2.03416,0.0885407574015026,0.0415592805603905,0.0526417554229422,0.139393939393939,0.13445,0.114585,0.084185,0.025,"1"
"59",8.26,1.01283722470517,-6.229147988,0.230448921,0.8,22.7516324,-11.2798407,3.91521772,1.43267533,0.77,1.8158,0.0447672759550477,0.017844662826724,0.0309657384870962,0.303030303030303,0.08569564,0.077643595,0.064053366,0.005,"1"
"60",0.544,1.68124123737559,-4.677780705,1.851258349,1.19,21.63012977,-9.050609993,2.99599056,1.1284106,0.924,1.96315,0.0205611924426625,0.0114438598661619,0.00741433173917757,0.090909090909091,0.0112570985,0.013394814,0.0055468865,0.006,"0"
"61",0.903,-0.522878745280338,-6.468521083,0.986771734,0.98,20.64281656,-10.11463878,3.17793555,2.00074629,0.6405,1.75106,2.43249021405519,0.0309657384631377,0.0298484180185221,0.121212121212121,0.042229995000001,0.035002467,0.071440408,0.0084862475,"0"
"62",3.85,1.80617997398389,-5.920818754,-0.22184875,1.02,22.13069392,-11.76000021,3.44619,1.42452,0.63,1.46604,0.0559162050281416,0.0219340647449938,0.0877362590478575,0.121212121212121,0.21145,0.24029,0.3065,0.03,"1"
"63",2.625,2,-6.167491087,-0.397940009,2,21.58733599,-12.1873998,4.472757799,0.8815438,0.64,2.22623,0.0457201048952623,0.0658021941832558,0.0658021942774571,0.181818181818182,0.11547934,0.21900534,0.113675222,0.125,"1"
"64",1.266,1.68124123737559,-5.958607315,0.397940009,1.61,20.90942658,-11.16052195,3.6839464,0.88610581,1.09,2.03975,0.323703994596241,0.023928070636996,0.0315850532054756,0.103030303030303,0.089175625,0.115365029,0.0385142015,0.035,"0"
"65",0.54,2.05384642685225,-3.978810701,1.589949601,1.42,21.39200012,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,0.00227712475567841,0.00250675025669951,0.00541303397652361,0.048484848484849,0.0096952545,0.014245613,0.010591616,0.0024826615,"0"
"66",2.452,1.82412583391655,-5.236572006,0.556302501,1.24,21.77771022,-10.16730017,3.52924,1.37252,0.53,1.88559,0.0954430381526363,0.00907616471193707,0.0146227098205568,0.03030303030303,0.10615,0.13258,0.08412,0.015,"0"
"67",1.37,0.342422680822206,-6.698970004,0.301029996,1.8,21.01785522,-11.6716204,4.20121889,1.13087741,0.92,2.06549,0.0791400972381197,0.0394813165061122,0.0263208776707413,0.121212121212121,0.076268475,0.093241949,0.074843971,0.01,"0"
"68",0.971,0.643452676486187,-5.853871964,1.012837225,1.77,21.19187281,-9.627087997,2.89655535,1.18074867,0.91,1.98015,0.0593271632865009,0.0188006269082896,0.0102217000672768,0.145454545454545,0.0242886035,0.034497878,0.016335114,0.002061639,"0"
"69",1.71,1.53907609879278,-5.431798276,0.62324929,1.53,21.70587483,-9.71219827,2.95265011,1.17417264,0.895,2.08587,0.0611908230521248,0.00711375072842337,0.0188006269394438,0.042424242424242,0.034480687,0.045271255,0.018244861,0.0021828875,"0"
"70",2.752,1.59328606702046,-5.619788758,0.255272505,1.46,21.45058625,-11.34678749,4.30368998,1.12123368,1.064,2.11535,0.0535069670726848,0.0109670323640116,0.0146227098318707,0.163636363636364,0.02563352,0.034224003,0.0267820245,0.002,"1"
"71",0.49,0.851258348719075,-5.045757491,1.667452953,2.05,20.87872913,-9.844663963,3.98466812,1.39581701,0.758,1.80187,0.00919722888036692,0.00877362590591064,0.0152830902683826,0.042424242424242,0.0185625155,0.021935207,0.013587309,0.00244132,"0"
"72",0.6528,0.397940008672038,-6.435333936,0.688419822,3.08,21.75162856,-10.5559552,2.99481,0.842217,0.9,2.06183,0.0771432232470903,0.0265360347448561,0.0258893878930529,0.133333333333333,0.0484,0.070765,0.0149485,0.005,"0"
"73",2.6147,1.41497334797082,-5.463441557,0.389166084,1.25,21.61964524,-10.01818139,3.750945731,1.136499703,0.9,1.96878,0.378773543258101,0.0185164313807078,0.0247093954042276,0.072727272727273,0.266741013,0.238477529,0.012525701,0.0405,"1"
"74",2.198,0.653212513775344,-5.790484985,0.860936621,1.37,21.44930866,-9.477555766,2.52429,1.22035,1.064,2.2119,0.0434736058858943,0.0087736258877956,0.0116014887814568,0.036363636363636,0.031940000000001,0.034305,0.013275,0.013,"0"
"75",0.9364,0.602059991327962,-6.769551079,0.113943352,2.4,21.71466751,-11.59006688,4.25742,1.14771,0.73,1.89482,0.0509829166417497,0.0340623123358059,0.0323949264119413,0.139393939393939,0.04535,0.058175,0.04854,0.005,"0"
