"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","Gamma","log10T90Err","log10FluenceErr","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10z"
"GRB060124",2.296,2.8750612633917,-6.336299075,-0.050609993,1.84,21.9172644,-10.6893,4.47599,1.3641,0.99,2.00895,0.000756704468551373,0.0302604450950157,0.0532332357362408,0.115151515151515,0.04445,0.036665,0.01627,0.076380116,0.517987203025078
"GRB060206",4.048,0.880813592280791,-6.080398976,0.445604203,1.2,22.33966406,-10.63078414,3.93814,1.17565,1.265,2.20424,0.110491399401039,0.0133029706675924,0.0160378107896306,0.1818181818,0.07055,0.07444,0.02867,0.0130418865,0.703119346236078
"GRB060210",3.91,2.40654018043396,-5.11577123,0.434568904,1.53,22.3877421,-10.66756154,4.15028,1.20511,0.979,2.08163,0.207740120984255,0.0140538367709601,0.027095021154743,0.054545454545455,0.0292,0.030365,0.02297,0.083622271,0.691081492122968
"GRB060306",1.559,1.78675142214556,-5.671620397,0.775974331,1.8,21.61973178,-10.70553377,3.61496,1.03794,0.76,2.28823,0.0249708024009658,0.014581519111212,0.0141083431552143,0.060606060606061,0.03495,0.04452,0.02498,0.01,0.408070285887186
"GRB060418",1.489,2.01325866528352,-5.079354999,0.814247596,1.7,21.65363309,-9.792961075,3.11887,1.47655,0.98,1.94118,0.1906297253529,0.0079942161609691,0.0141293055003077,0.036363636363636,0.049040000000001,0.057245,0.044705,0.005,0.396024896608593
"GRB060605",3.78,1.89817648349768,-6.156767222,-0.337242168,1.55,21.77333803,-11.26121944,4.04162,1.9179,0.835,2.02128,0.192243471662561,0.0339867861224412,0.0686631591438462,0.121212121212121,0.05315,0.037375,0.085,0.10149311,0.679427896612119
"GRB060614",0.125,2.03622954408629,-4.690369833,1.06069784,2.02,20.51216256,-11.78251606,5.03344,1.9453,0.783,1.89544,0.0132262962918867,0.00468356794668692,0.0169369126150239,0.024242424242424,0.0429,0.0289,0.05983,0.006,0.0511525224473813
"GRB060708",1.92,1.00860017176192,-6.306273051,0.28780173,1.68,20.79066861,-10.86966623,3.50569,1.12969,1.485,2.20484,0.153333382301668,0.019714017700399,0.0189944478152724,0.072727272727273,0.06115,0.062725,0.028525,0.3341015195,0.465382851448418
"GRB060714",2.711,2.06069784035361,-5.548213564,0.10720997,1.93,22.0125926,-10.86012091,3.73449,1.20488,0.87,2.04425,0.0344768087771092,0.0155321080197879,0.026732141383355,0.066666666666667,0.035200000000001,0.046765,0.035305,0.005,0.569490954348783
"GRB060729",0.54,2.0618293072947,-5.583359493,0.068185862,1.75,20.86562801,-11.15058059,5.1057,1.35481,1.317,1.92492,0.12770239254628,0.0212785639737521,0.0292454196396912,0.084848484848485,0.011600000000001,0.012825,0.013425,0.077392286,0.187520720836463
"GRB060906",3.686,1.63848925695464,-5.655607726,0.294466226,2.03,22.41960057,-11.8827287,4.33479,1.71887,1.06,2.07859,0.0815374132566299,0.0161974631827828,0.0374103845495022,0.066666666666667,0.08845,0.072145,0.169635,0.005,0.670802284260944
"GRB060908",1.8836,1.28555730900777,-5.552841969,0.481442629,1,21.80952201,-9.627087997,2.81918,1.38309,1.185,2.13395,0.0299356102082822,0.0104343479500535,0.0217168957598539,0.1818181818,0.045185,0.05993,0.04964,0.0034749535,0.459935016851525
"GRB060926",3.2,0.903089986991944,-6.659555885,0.037426498,2.54,22.50004427,-10.84771166,3.351,1.45111,1.357,2.00443,0.0658325115271916,0.0300466640198818,0.0338066318922117,0.139393939393939,0.08245,0.09927,0.11561,0.009157091,0.6232492903979
"GRB060927",5.47,1.35218251811136,-5.946921557,0.431363764,0.9,22.10710478,-10.77728353,3.15198,1.39098,0.83,1.94856,0.0249820977926045,0.0158391122565265,0.0165724044782448,0.2424242424,0.08115,0.108435,0.118785,0.178498106,0.8109042806687
"GRB061021",0.3463,1.66464197555613,-5.528708289,0.78604121,1.3,20.87141063,-10.04095861,3.23849,1.01707,0.785,1.99282,0.0507507175199213,0.00898111029446789,0.0116311570876723,0.036363636363636,0.0264,0.03399,0.010415,0.0168000365,0.129141845792285
"GRB061121",1.314,1.91009054559407,-4.863279433,1.324282455,1.41,21.75351565,-10.03011836,3.78753,1.35185,0.9485,1.90181,0.246407281873044,0.00382325157840621,0.0057382008275868,0.018181818181818,0.01265,0.01703,0.01585,0.0023582105,0.364363354615731
"GRB061201",0.111,-0.119186407719209,-6.476253533,0.586587305,0.81,21.16656331,-10.4134127,3.49343,1.98937,0.145,1.65934,0.0565465973564365,0.0212773562081293,0.0211385286996785,0.090909090909091,0.093649999999999,0.093885,0.169505,0.061048094,0.0457140589408676
"GRB070110",2.352,1.94645226501307,-5.790484985,-0.22184875,1.58,21.3989672,-11.04866248,4.26825,1.42725,1.186,2.08596,0.0711281657048759,0.0175472517755912,0.0526417554287148,0.072727272727273,0.05475,0.053995,0.046555,0.1216678795,0.525304009958239
"GRB070208",1.165,1.67851837904011,-6.351639989,-0.045757491,1.94,21.8647258,-10.86327943,3.44468,1.2125,1.14,2.20341,0.206015982011363,0.0597395201502247,0.0643399233100112,0.218181818181818,0.161899999999999,0.14114,0.06357,0.015,0.335457900689384
"GRB070223",1.6295,1.94694327069783,-5.769551079,-0.161150909,1.85,21.70173804,-11.86327943,4.22335,0.991734,1.03,2.25837,0.0396768796607278,0.0185794430922578,0.0572192992938745,0.072727272727273,0.16615,0.203105,0.079308,0.06,0.419873175149476
"GRB070306",1.4959,2.32118402730231,-5.269217724,0.609594409,1.66,22.44245468,-11.2737,4.86926,1.89982,0.831,1.94468,0.134263479543134,0.0139921394309921,0.0135807968501197,0.060606060606061,0.0335,0.02824,0.06188,0.001,0.397227181043161
"GRB070508",0.82,1.32014628611105,-4.707743929,1.382017043,1.1,21.89306622,-9.161150909,3.02525,1.37377,0.764,1.82568,0.015292234035637,0.00366612225284185,0.00666213086135178,0.06060606061,0.010795,0.01189,0.013355,5e-04,0.260071387985075
"GRB070521",2.0865,1.57863920996807,-5.096367484,0.814913181,1.1,22.27524914,-10.01233374,3.55243,1.44502,0.98,2.00022,0.032307204601571,0.00581622391039878,0.0108830581640121,0.1212121212,0.04901,0.04844,0.0562,0.147518075,0.489466281303128
"GRB070529",2.4996,2.03822263836872,-5.590066877,0.155336037,1.34,22.56252244,-10.24641694,3.09323,1.21432,0.76,1.97999,0.0794726285854208,0.0250918873122187,0.066262349503112,0.096969696969697,0.0552,0.068045,0.03501,0.015,0.544018407858776
"GRB070802",2.45,1.2148438480477,-6.552841969,-0.397940009,1.79,21.91375294,-11.6716204,3.92184,1.16348,0.78,1.99014,0.0799687771478019,0.0470015673425834,0.0658021942774571,0.163636363636364,0.17395,0.236245,0.2088785,0.045,0.537819095073274
"GRB070809",0.2187,0.113943352306837,-7,0.079181246,1.69,20.80619355,-11.9625735,4.18985,1.17521,0.396,1.37246,0.0907104153663573,0.0263208776911062,0.0438681294899875,0.133333333333333,0.1917,0.206985,0.395643,0.0595,0.0858968111315881
"GRB071003",1.60435,2.17609125905568,-5.080921908,0.799340549,1.36,20.86974084,-11.67760082,4.78411,1.97901,0.837,1.91015,0.0130126209865144,0.00951357025803561,0.0167116683927593,0.042424242424242,0.135899999999999,0.098505,0.183105,0.032,0.415699348887829
"GRB071020",2.145,0.6232492903979,-5.638272164,0.924279286,1.11,20.99642367,-9.169411331,2.311950854,1.119196934,0.844,1.59788,0.0601790284074954,0.0114438598661619,0.00940031346244879,0.03030303030303,0.035099822,0.039262062,0.011153209,0.001,0.497620649781288
"GRB071117",1.331,0.819543935541869,-5.619788758,1.053078443,1.57,22.04291793,-11.23542972,3.901990464,1.104952391,0.94,2.0457,0.120079755797505,0.0109670323640116,0.00931712485678028,0.036363636363636,0.101024385,0.117162967,0.089387802,0.01,0.367542273520577
"GRB080516",3.2,0.763427993562937,-6.585026652,0.255272505,1.82,22.03528962,-11.12090412,3.77452827,0.94016916,1.48,2.3315,0.0159503209463535,0.0404936579835962,0.0438681294956119,0.163636363636364,0.077803665,0.111057696,0.084888358,0.03,0.6232492903979
"GRB080810",3.35,2.02530586526477,-5.337242168,0.301029996,1.34,21.45079548,-9.931814138,3.2687548,1.44529526,1.079,2.11482,0.0177699795120678,0.0114438598573077,0.0263208776707413,0.036363636363636,0.031830706,0.039738688,0.036139295,0.0015,0.638489256954637
"GRB081007",0.5295,1,-6.148741651,0.414973348,2.51,21.69605744,-10.58502665,3.58176278,1.00469263,0.92,2.102,0.127558078761821,0.0296573269567103,0.0404936579835962,0.121212121212121,0.053161115,0.084284398,0.039134851,0.005,0.184549481320697
"GRB081008",1.9685,2.26834391395106,-5.366531544,0.113943352,1.69,21.1376737,-10.79317412,3.85550833,1.47398467,0.84,1.98207,0.0944541322655463,0.0122422686816868,0.0202468290074635,0.042424242424242,0.06052989,0.056285684,0.063988679,0.025,0.472537053262077
"GRB081029",3.8479,2.43136376415899,-5.677780705,-0.301029996,1.43,21.49704581,-11.86327943,4.48156171,2.51960373,0.87,1.95818,0.0734806588271915,0.0250675025476,0.105283510845884,0.109090909090909,0.083250805000001,0.04285341,0.169198521,0.001,0.685553652846326
"GRB081221",2.26,1.53147891704226,-4.742321425,1.260071388,1.21,21.57331844,-9.354577731,2.93195749,1.23586126,0.991,2.4947,0.0102431891749236,0.00436257641157646,0.00723101035445099,0.078787878787879,0.0249855,0.031176651,0.0128618565,5e-04,0.513217600067939
"GRB081230",2.1,1.78318869107526,-6.086186148,-0.15490196,1.97,20.67248024,-11.32975415,3.66959365,0.99376498,1.02,2.08621,0.0985519956186671,0.0256789050871822,0.037601253845672,0.096969696969697,0.070144399999999,0.08735027,0.040381418,0.02,0.491361693834273
"GRB090102",1.547,1.43136376415899,-7.167491087,0.740362689,1.36,21.72376179,-9.457174573,3.15380077,1.42487631,0.667,1.76997,0.0360303570746831,0.0116121519146922,0.0382849130488151,0.048484848484849,0.036239983,0.041590346,0.0217865955,0.0026734575,0.406028944963615
"GRB090205",4.6497,0.944482672150169,-6.721246399,-0.301029996,2.15,21.81792086,-11.3419886,3.70655,1.29089,1.01,2.03416,0.0885407574015026,0.0415592805603905,0.0526417554229422,0.139393939393939,0.13445,0.114585,0.084185,0.025,0.752025387323213
"GRB090423",8.26,1.01283722470517,-6.229147988,0.230448921,0.8,22.7516324,-11.2798407,3.91521772,1.43267533,0.77,1.8158,0.0447672759550477,0.017844662826724,0.0309657384870962,0.303030303030303,0.08569564,0.077643595,0.064053366,0.005,0.966610986681934
"GRB090510",0.903,-0.522878745280338,-6.468521083,0.986771734,0.98,20.64281656,-10.11463878,3.17793555,2.00074629,0.6405,1.75106,2.43249021405519,0.0309657384631377,0.0298484180185221,0.121212121212121,0.042229995000001,0.035002467,0.071440408,0.0084862475,0.27943878828702
"GRB090519",3.85,1.80617997398389,-5.920818754,-0.22184875,1.02,22.13069392,-11.76000021,3.44619,1.42452,0.63,1.46604,0.0559162050281416,0.0219340647449938,0.0877362590478575,0.121212121212121,0.21145,0.24029,0.3065,0.03,0.685741738602264
"GRB090530",1.266,1.68124123737559,-5.958607315,0.397940009,1.61,20.90942658,-11.16052195,3.6839464,0.88610581,1.09,2.03975,0.323703994596241,0.023928070636996,0.0315850532054756,0.103030303030303,0.089175625,0.115365029,0.0385142015,0.035,0.355259905527378
"GRB090618",0.54,2.05384642685225,-3.978810701,1.589949601,1.42,21.39200012,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,0.00227712475567841,0.00250675025669951,0.00541303397652361,0.048484848484849,0.0096952545,0.014245613,0.010591616,0.0024826615,0.187520720836463
"GRB090812",2.452,1.82412583391655,-5.236572006,0.556302501,1.24,21.77771022,-10.16730017,3.52924,1.37252,0.53,1.88559,0.0954430381526363,0.00907616471193707,0.0146227098205568,0.03030303030303,0.10615,0.13258,0.08412,0.015,0.538070787043172
"GRB090927",1.37,0.342422680822206,-6.698970004,0.301029996,1.8,21.01785522,-11.6716204,4.20121889,1.13087741,0.92,2.06549,0.0791400972381197,0.0394813165061122,0.0263208776707413,0.121212121212121,0.076268475,0.093241949,0.074843971,0.01,0.374748346010104
"GRB091018",0.971,0.643452676486187,-5.853871964,1.012837225,1.77,21.19187281,-9.627087997,2.89655535,1.18074867,0.91,1.98015,0.0593271632865009,0.0188006269082896,0.0102217000672768,0.145454545454545,0.0242886035,0.034497878,0.016335114,0.002061639,0.294686624279443
"GRB091020",1.71,1.53907609879278,-5.431798276,0.62324929,1.53,21.70587483,-9.71219827,2.95265011,1.17417264,0.895,2.08587,0.0611908230521248,0.00711375072842337,0.0188006269394438,0.042424242424242,0.034480687,0.045271255,0.018244861,0.0021828875,0.432969290874406
"GRB091029",2.752,1.59328606702046,-5.619788758,0.255272505,1.46,21.45058625,-11.34678749,4.30368998,1.12123368,1.064,2.11535,0.0535069670726848,0.0109670323640116,0.0146227098318707,0.163636363636364,0.02563352,0.034224003,0.0267820245,0.002,0.574262829707027
"GRB091127",0.49,0.851258348719075,-5.045757491,1.667452953,2.05,20.87872913,-9.844663963,3.98466812,1.39581701,0.758,1.80187,0.00919722888036692,0.00877362590591064,0.0152830902683826,0.042424242424242,0.0185625155,0.021935207,0.013587309,0.00244132,0.173186268412274
"GRB050416A",0.6528,0.397940008672038,-6.435333936,0.688419822,3.08,21.75162856,-10.5559552,2.99481,0.842217,0.9,2.06183,0.0771432232470903,0.0265360347448561,0.0258893878930529,0.133333333333333,0.0484,0.070765,0.0149485,0.005,0.218220304175545
"GRB050820A",2.6147,1.41497334797082,-5.463441557,0.389166084,1.25,21.61964524,-10.01818139,3.750945731,1.136499703,0.9,1.96878,0.378773543258101,0.0185164313807078,0.0247093954042276,0.072727272727273,0.266741013,0.238477529,0.012525701,0.0405,0.558072259099146
"GRB050922C",2.198,0.653212513775344,-5.790484985,0.860936621,1.37,21.44930866,-9.477555766,2.52429,1.22035,1.064,2.2119,0.0434736058858943,0.0087736258877956,0.0116014887814568,0.036363636363636,0.031940000000001,0.034305,0.013275,0.013,0.504878459410216
"GRB051016B",0.9364,0.602059991327962,-6.769551079,0.113943352,2.4,21.71466751,-11.59006688,4.25742,1.14771,0.73,1.89482,0.0509829166417497,0.0340623123358059,0.0323949264119413,0.139393939393939,0.04535,0.058175,0.04854,0.005,0.286995073968852
"GRB051109A",2.346,1.5705429398819,-5.657577319,0.595496222,1.51,21.97057233,-10.51999306,3.91123,1.22299,1.06,2.06584,0.0827679937558025,0.0325421760411363,0.0460949380699723,0.121212121212121,0.048150000000001,0.04637,0.019155,0.0547943805,0.524525936626376
"GRB051221A",0.5465,0.146128035678238,-5.93930216,1.079181246,1.39,21.27394758,-11.69464863,4.20075,1.09586,0.89,2.0589,0.0635863098514522,0.00801070191251132,0.00855428525054755,0.036363636363636,0.063000000000001,0.085085,0.05576,0.005,0.189349924339198
"GRB060223A",4.41,1.05307844348342,-6.171984936,0.130333768,1.74,22.49782636,-10.9636,2.78682,1.1892,0.81,2.01015,0.0421049044083316,0.018772691379267,0.035094503628142,0.072727272727273,0.1982,0.23477,0.18005,0.045,0.733197265106569
"GRB060502A",1.5026,1.45331834004704,-5.63638802,0.227886705,1.46,21.45692297,-10.55284197,3.3865,0.897152,0.87,2.02719,0.150287880726656,0.0116222057308489,0.0327064160367775,0.048484848484849,0.05675,0.075085,0.0205255,0.015,0.398391440229475
"GRB060510B",4.9,2.43964842956347,-5.390405591,-0.244125144,1.78,22.00215742,-12.2656,4.43617,1.00735,1.38,2.1317,0.0335971370177898,0.0113820011696242,0.0507946762076895,0.048484848484849,0.2206,0.31628,0.2313695,0.03,0.770852011642144
"GRB060904B",0.703,2.23426412437879,-5.790484985,0.387389826,1.64,21.59122827,-11.11633856,3.87074,1.36265,1.58,2.18877,0.0287243616501434,0.0232338611473106,0.0226532144239483,0.084848484848485,0.08665,0.081295,0.04215,0.136141492,0.231214647962601
"GRB060912A",0.937,0.698970004336019,-5.869666232,0.933487288,1.74,21.36738202,-10.1079054,2.455171016,1.045731532,0.63,1.8948,0.050378159861502,0.0120881068052489,0.0134978859907368,0.054545454545455,0.147419953,0.156564864,0.0289377855,0.0785,0.287129620719111
"GRB061222A",2.088,1.85369821177617,-5.097453221,0.930949031,1.35,22.56660835,-9.954677021,3.92091,1.35061,0.86,1.92748,0.0973208923032497,0.00520487944706068,0.00802277632160302,0.024242424242424,0.02311,0.024435,0.018075,0.005,0.489677291663699
"GRB070714B",0.923,1.80617997398389,-6.142667504,0.431363764,1.36,21.64321572,-10.74232143,3.22974,1.64623,0.93,2.07429,0.0570608478015689,0.0329010971465546,0.0194969464449939,0.115151515151515,0.09935,0.0946,0.108425,0.005,0.28397928423848
"GRB070810A",2.17,1.04139268515822,-6.161150909,0.278753601,2.04,21.93100401,-10.77728353,3.36583,1.36994,1.02,2.17076,0.197037086504463,0.0228877197175498,0.0277061870402603,0.084848484848485,0.06175,0.07187,0.077915,0.01,0.501059262217751
"GRB080319C",1.95,1.53147891704226,-5.443697499,0.716003344,1.37,21.75037415,-8.91721463,3.19029,1.45203,1.94,1.61029,0.11349174293427,0.00731135491027843,0.0151851217320997,0.042424242424242,0.05004,0.04713,0.02854,0.199995173,0.469822015978163
"GRB080905B",2.374,2.10720996964787,-5.744727495,-0.301029996,1.78,22.33533151,-10.11125904,3.67820615,1.36946226,0.375,1.86248,0.0951998385488903,0.0292454196637412,0.0526417554229422,0.090909090909091,0.03236457,0.038825489,0.0333017515,0.00558525,0.528145078253106
"GRB080916A",0.6887,1.77815125038364,-5.397940009,0.431363764,1.17,21.7431239,-10.75269955,3.60698,0.998947,0.83,1.88453,0.045788373456409,0.00658021942774567,0.0194969464449939,0.127272727272727,0.0592,0.073495,0.0260505,0.01,0.227552503379865
"GRB081028A",3.038,2.41497334797082,-5.431798276,-0.301029996,1.25,20.90308999,-11.3994,4.75426,2.20023,0.945,2.51,0.0544346314310819,0.0142275014568467,0.0526417554229422,0.23030303030303,0.057200000000001,0.03025,0.054715,5e-04,0.60616631460762
"GRB081203A",2.1,2.46834733041216,-5.113509275,0.462397998,1.54,21.66176916,-10.9243983,4.02089,1.86904,0.82,2.03508,0.122562443756652,0.0102548874161921,0.0181523294379188,0.036363636363636,0.05695,0.03932,0.064395,0.0325,0.491361693834273
"GRB090418A",1.608,1.7481880270062,-5.337242168,0.278753601,1.48,22.02365981,-10.04720756,3.52813657,1.52909667,0.98,2.03408,0.0320230997075472,0.0114438598573077,0.0415592805603905,0.042424242424242,0.028659405,0.030759021,0.0421545135,0.003531332,0.416307587059883
"GRB090516A",4.109,2.32221929473392,-5.045757491,0.204119983,1.84,21.19589965,-11.27490548,4.33113504,1.76098314,0.502,2.09,0.13235641353242,0.0175472518118213,0.0329010970878163,0.066666666666667,0.03779605,0.029715315,0.0533515885,0.4790870845,0.708335902682263
"GRB091109A",3.076,1.68124123737559,-5.795880017,0.113943352,1.31,21.89596701,-11.14630179,3.37933883,1.06152816,0.89,1.96352,0.151171637016717,0.0329010970878164,0.0809873160298532,0.151515151515152,0.05941034,0.074268877,0.0337195715,0.03,0.610234175334389
"GRB091208B",1.063,1.17318626841227,-5.48148606,1.181843588,1.74,21.91211094,-10.18045606,3.31388094,1.1606541,0.86,2.03333,0.084460753389473,0.0159520470810336,0.0173163668998415,0.066666666666667,0.036806415,0.052928177,0.030502454,0.034663611,0.314499227973151
"GRB100316B",1.18,0.57978359661681,-6.698970004,0.113943352,2.23,21.41315218,-11.1481304,3.5543767,1.36246063,1.08,2.23535,0.0508837165997665,0.0263208776707414,0.0202468290074635,0.109090909090909,0.10431242,0.207348761,0.13322096,0.02,0.338456493604605
"GRB100425A",1.755,1.56820172406699,-6.327902142,0.146128036,2.42,20.53466438,-11.50168945,3.60199415,0.86819371,1.46,2.17077,0.0442926372645721,0.0504016806776366,0.0376012538165791,0.193939393939394,0.070859065000001,0.115125536,0.0550768945,0.035,0.440121603187804
"GRB100513A",4.772,1.92427928606188,-5.853871964,-0.22184875,1.62,22.05240534,-11.57186521,3.74522911,0.96306136,1.36,2.25722,0.0768849139149974,0.0188006269082896,0.0438681295239291,0.084848484848485,0.09817689,0.128616618,0.0615694365,0.025,0.761326322421457
"GRB100625A",0.452,-0.481486060122112,-6.638272164,0.414973348,0.9,20.33244048,-10.87942607,2.43862257,1.84657968,1.08,2.40449,0.0394813165366593,0.0228877197323238,0.0202468289917981,0.060606060606061,0.36164147,0.239414064,0.242981501,0.175,0.161966616364075
"GRB100704A",3.6,2.29556709996248,-5.22184875,0.633468456,1.73,21.52730245,-10.35163999,3.62503495,1.01294211,1.29,2.11575,0.0511462885111969,0.00877362590478576,0.0122422686816868,0.036363636363636,0.04763446,0.053639373,0.0181399595,0.01,0.662757831681574
"GRB100724A",1.288,0.146128035678238,-6.795880017,0.278753601,1.92,21.01720452,-10.67778071,2.86502502,1.11237691,0.83,1.94442,0.0483291324172893,0.0329010970878163,0.0277061870402603,0.127272727272727,0.14742817,0.168928757,0.0650028685,0.05,0.359456020120987
"GRB100814A",1.44,2.2417954312952,-5.045757491,0.397940009,1.47,20.89608288,-11.49349497,5.22729477,1.76532941,1.1425,1.89414,0.0235643330357211,0.00584908393727375,0.0210567021369837,0.024242424242424,0.043626359999999,0.035347138,0.0840151685,0.01745135,0.387389826338729
"GRB100816A",0.804,0.462397997898956,-5.698970004,1.037426498,0.73,21.34783526,-11.5559552,3.97801299,1.04455013,1.09,1.91138,0.0930248426037339,0.0131604388353707,0.00965903768348901,0.145454545454545,0.086749220000001,0.112014005,0.047175154,0.015,0.256236533205923
"GRB100901A",1.408,2.64246452024212,-5.677780705,-0.096910013,1.52,21.53188109,-11.34103516,4.91124,1.50754,1.075,1.98285,0.022321143869233,0.0376012538214001,0.0658021942265446,0.127272727272727,0.0283,0.02425,0.036255,5e-04,0.381656482585787
"GRB101219B",0.55,1.53147891704226,-5.677780705,-0.22184875,1.56,20.49692965,-11.99567863,4.42003952,0.66918137,0.94,1.85684,0.0692396240004128,0.0501350050952,0.131604388571787,0.096969696969697,0.089446274999999,0.166829365,0.0393906275,0.105,0.190331698170291
"GRB110106B",0.618,1.39445168082622,-5.698970004,0.322219295,1.76,21.29748256,-10.81530857,3.87203946,1.22519883,1.03,2.05121,0.291163238450461,0.0131604388353707,0.0376012538214001,0.066666666666667,0.045543555,0.058714404,0.049891228,0.005,0.208978517276253
"GRB110213A",1.46,1.68124123737559,-5.229147988,0.204119983,1.83,21.56708403,-9.896196279,3.84089,1.8412,1.1905,1.96436,0.144764827301084,0.017844662826724,0.0987032912634493,0.072727272727273,0.03588,0.023515,0.02785,0.2263626645,0.390935107103379
"GRB110422A",1.77,1.41329976408125,-4.387216143,1.487138375,0.86,22.02088312,-9.681936665,3.50066971,1.42239886,0.778,1.89199,0.00950159657821324,0.00641972626198059,0.00857357580456891,0.060606060606061,0.0241374065,0.029472713,0.022779716,0.005,0.442479769064449
"GRB110503A",1.613,1,-5,0.130333768,0.88,21.13638759,-9.08249449,2.54166555,1.14649063,0.687,1.90907,0.147896600345909,0.0105283510764424,0.0116981678760472,0.151515151515152,0.028998071,0.028887961,0.006289914,0.001,0.417139409727326
"GRB110715A",0.82,1.11394335230684,-4.928117993,1.731588765,1.25,22.0746007,-9.075720714,2.61109719,0.95853538,0.755,1.85342,0.133629071354847,0.00446116571350155,0.00537160769437218,0.072727272727273,0.0237765295,0.035600881,0.009554076,0.0015,0.260071387985075
"GRB110731A",2.83,1.58883172559421,-5.22184875,1.041392685,1.15,21.95954126,-12.08512818,5.08952072,1.42351927,0.39,1.85145,0.130539784508902,0.00438681295239289,0.0071784211910988,0.03030303030303,0.097418495,0.090702815,0.110855301,0.13,0.583198773968623
"GRB110818A",3.36,2.01283722470517,-5.397940009,0.204119983,1.58,22.06812647,-11.28316228,3.84627415,1.37167718,0.83,1.95985,0.0761271871007967,0.0131604388554913,0.0493516456317247,0.066666666666667,0.05514905,0.059648416,0.0673381895,0.01,0.639486489268586
"GRB111008A",4.9898,1.80250006776439,-5.27572413,0.806179974,1.86,22.17059025,-10.66756154,3.98993393,1.21584288,0.829,1.94053,0.0161841208073831,0.0148986100001386,0.0287884599735793,0.054545454545455,0.028511085,0.035676696,0.0273512905,0.001,0.777412321496744
"GRB111117A",2.211,-0.327902142064283,-6.853871964,0.130333768,0.65,21.35810434,-11.56224944,3.040958613,1.320391508,0.79,2.19593,0.049588674384036,0.0338411284349212,0.0389938929201578,0.133333333333333,0.1607292,0.16895411,0.11777667,0.045,0.506640305566503
"GRB111123A",3.1516,2.46239799789896,-5.13667714,-0.045757491,1.68,21.35034301,-11.60730305,4.42202873,1.46723371,1.25,2.55463,0.131921983971797,0.0108167990541397,0.029245419686369,0.042424242424242,0.07308827,0.070655771,0.1058841465,0.005,0.618215503279417
